Bilanço Kalemleri,2023/9,2023/6,2022/12,2022/6,2021/12
Dönen Varlýklar,,,,,Bin TRY
Nakit ve Nakit Benzerleri,1526.0,1568.0,1223.0,,1265.0
Ticari Alacaklar,105771.0,63538.0,301128.0,,11283.0
Diðer Alacaklar,89156.0,96668.0,19966.0,,16495.0
Stoklar,18308.0,31074.0,28611.0,,10559.0
Peþin Ödenmiþ Giderler,363136.0,347505.0,35772.0,,6896.0
Cari Dönem Vergisiyle Ýlgili Varlýklar,171.0,,1,,1
Diðer Dönen Varlýklar,2.0,1.0,1.0,,6651.0
Satýþ Amacýyla Elde Tutulan Duran Varlýklar,0,,6092.0,,
Toplam Dönen Varlýklar,6734.0,6948.0,0.0,,160234.0
Duran Varlýklar,,,,,Bin TRY
Ticari Alacaklar,,,73,,73
Diðer Alacaklar,73,,,,
Yatýrým Amaçlý Gayrimenkuller,584719.0,546447.0,393434.0,,53447.0
Maddi Duran Varlýklar,73.0,73.0,73.0,,73.0
Kullaným Hakký Varlýklarý,292660.0,292844.0,205336.0,,112884.0
Maddi Olmayan Duran Varlýklar,2230893.0,2231393.0,1379412.0,,654033.0
Ertelenmiþ Vergi Varlýðý,511519.0,511519.0,325550.0,,179867.0
Toplam Duran Varlýklar,25299.0,25720.0,26564.0,,27815.0
Toplam Varlýklar,26339.0,12438.0,18492.0,,13753.0
Kýsa Vadeli Yükümlülükler,,,,,Bin TRY
Finansal Borçlar,3086783.0,3073987.0,1955427.0,,988424.0
Ticari Borçlar,3671502.0,3620435.0,2509095.0,,1041871.0
Çalýþanlara Saðlanan Faydalar Kapsamýnda Borçlar,26250.0,25449.0,19056.0,,16503.0
Diðer Borçlar,12322.0,42843.0,41360.0,,31711.0
Ertelenmiþ Gelirler,8879.0,9086.0,7909.0,,441
Dönem Karý Vergi Yükümlülüðü,,,13,,22
Kýsa Vadeli Karþýlýklar,6852.0,66344.0,34543.0,,104971.0
Diðer Kýsa Vadeli Yükümlülükler,39978.0,4679.0,3682.0,,761
Toplam Kýsa Vadeli Yükümlülükler,23730.0,441.0,13.0,,13.0
Uzun Vadeli Yükümlülükler,,,,,Bin TRY
Finansal Borçlar,13.0,22.0,40556.0,,
Ticari Borçlar,,,,,27329.0
Diðer Borçlar,,,,,31448.0
Uzun vadeli Karþýlýklar,19212.0,4959.0,5232.0,,301
Ertelenmiþ Vergi Yükümlülüðü,1135.0,761.0,164002.0,,148178.0
Diðer Uzun Vadeli Yükümlülükler,0,,229621.0,,115480.0
Toplam Uzun Vadeli Yükümlülükler,2724.0,2724.0,7669.0,,8000.0
Özkaynaklar,,,,,Bin TRY
Ana Ortaklýða Ait Özkaynaklar,2441.0,2134.0,1028.0,,1026.0
Ödenmiþ Sermaye,301.0,567338.0,562726.0,,452911.0
Kar veya Zararda Yeniden Sýnýflandýrýlmayacak Birikmiþ Diðer Kapsamlý Gelirler (Giderler),120712.0,0.0,3328.0,,3274.0
Kardan Ayrýlan Kýsýtlanmýþ Yedekler,572197.0,566478.0,464935.0,,134728.0
Geçmiþ Yýllar Kar/Zararlarý,2916225.0,2890830.0,1809347.0,,782897.0
Dönem Net Kar/Zararý,1000000.0,1000000.0,1000000.0,,1000.0
Azýnlýk Paylarý,1494272.0,1495129.0,585649.0,,759981.0
Toplam Özkaynaklar,37693.0,37693.0,30693.0,,14781.0
Toplam Kaynaklar,186006.0,186006.0,-32289.0,,-20938.0
