Gelir Tablosu Kalemleri,2023/9,2023/6,2022/12,2022/6,2021/12
Satýþ Gelirleri,286562.0,182186.0,465763.0,169773.0,
Satýþlarýn Maliyeti (-),-145863.0,-86978.0,-239378.0,-122537.0,
Ticari Faaliyetlerden Brüt Kar (Zarar),140699.0,95209.0,226386.0,47236.0,
Brüt Kar (Zarar),140699.0,95209.0,226386.0,47236.0,
Genel Yönetim Giderleri (-),-17767.0,-10973.0,-22819.0,-4541.0,
"Pazarlama, Satýþ ve Daðýtým Giderleri (-)",,-82.0,,-2,
Araþtýrma ve Geliþtirme Giderleri (-),-43.0,,-2.0,-769,
Diðer Faaliyet Gelirleri,-2.0,-1153.0,-769.0,-1538.0,
Diðer Faaliyet Giderleri (-),-769.0,32572.0,31340.0,16610.0,
Faaliyet Karý (Zararý),2700.0,-51235.0,-33376.0,-22144.0,
Yatýrým Faaliyetlerinden Gelirler,-5986.0,103034.0,81387.0,229,
Yatýrým Faaliyetlerinden Giderler (-),0,,,,
Finansman Geliri (Gideri) Öncesi Faaliyet Karý (Zararý),196492.0,38638.0,87875.0,87875.0,
(Esas Faaliyet Dýþý) Finansal Gelirler,,,,142,
(Esas Faaliyet Dýþý) Finansal Giderler (-),96273.0,229.0,0.0,-291,
Sürdürülen Faaliyetler Vergi Öncesi Karý (Zararý),190909.0,169263.0,292765.0,38867.0,
Sürdürülen Faaliyetler Vergi Geliri (Gideri),234.0,74.0,358.0,142.0,
Dönem Vergi Geliri (Gideri),,,,,
Ertelenmiþ Vergi Geliri (Gideri),-2434.0,-1549.0,-3605.0,-291.0,
Sürdürülen Faaliyetler Dönem Karý/Zararý,188709.0,167787.0,289519.0,38718.0,
Durdurulan Faaliyetler Dönem Karý/Zararý,0,,,,
Dönem Karý (Zararý),23432.0,13972.0,-59568.0,1038.0,
Azýnlýk Paylarý,23432.0,13972.0,-59568.0,1038.0,
Ana Ortaklýk Paylarý,212141.0,181759.0,229950.0,39757.0,
Amortisman,0.0,212141.0,172003.0,225295.0,2292.0
