Gelir Tablosu Kalemleri,2023/9,2023/6,2022/12,2022/9,2022/6
Satýþ Gelirleri,584404.0,354138.0,522506.0,209215.0,97036.0
Satýþlarýn Maliyeti (-),-380907.0,-237443.0,-341291.0,-135515.0,-60241.0
Ticari Faaliyetlerden Brüt Kar (Zarar),203498.0,116696.0,181216.0,73701.0,36795.0
Brüt Kar (Zarar),203498.0,116696.0,181216.0,73701.0,36795.0
Genel Yönetim Giderleri (-),-55116.0,-34857.0,-32865.0,-21557.0,-14402.0
"Pazarlama, Satýþ ve Daðýtým Giderleri (-)",-35307.0,-23637.0,-21542.0,-13330.0,-9179.0
Araþtýrma ve Geliþtirme Giderleri (-),,,,,
Diðer Faaliyet Gelirleri,-580.0,-394.0,-806.0,-597.0,-398.0
Diðer Faaliyet Giderleri (-),156767.0,112263.0,89558.0,69197.0,53485.0
Faaliyet Karý (Zararý),-97900.0,-65326.0,-48658.0,-59656.0,-26844.0
Yatýrým Faaliyetlerinden Gelirler,171361.0,,,104745.0,
Yatýrým Faaliyetlerinden Giderler (-),,,-67,,
Finansman Geliri (Gideri) Öncesi Faaliyet Karý (Zararý),166904.0,47759.0,39457.0,53368.0,971.0
(Esas Faaliyet Dýþý) Finansal Gelirler,931.0,32884.0,427.0,0.0,-34.0
(Esas Faaliyet Dýþý) Finansal Giderler (-),-67.0,0.0,-34.0,224730.0,105682.0
Sürdürülen Faaliyetler Vergi Öncesi Karý (Zararý),167767.0,80643.0,39850.0,6273.0,4727.0
Sürdürülen Faaliyetler Vergi Geliri (Gideri),12673.0,7551.0,7582.0,-89566.0,-64186.0
Dönem Vergi Geliri (Gideri),-62832.0,-20788.0,-34695.0,,
Ertelenmiþ Vergi Geliri (Gideri),141436.0,,46223.0,117608.0,
Sürdürülen Faaliyetler Dönem Karý/Zararý,67405.0,12738.0,-37342.0,-9432.0,-11090.0
Dönem Karý (Zararý),-6074.0,-1626.0,-21524.0,-9264.0,-8423.0
Azýnlýk Paylarý,,-983.0,,,-653.0
Ana Ortaklýk Paylarý,-15819.0,-168.0,-2666.0,-5091.0,-972.0
Amortisman,104094.0,36791.0,106518.0,61331.0,11112.0
